msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02004297,40000,121000,43181.57894736842,129799.34210526316
E02004290,40950,155000,46361.71052631579,147718.42105263157
E02004298,45750,178000,57851.31578947369,153472.36842105264
E02004299,32000,88750,34407.89473684211,92447.36842105263
E02004291,32725,103000,36719.73684210526,107202.63157894737
E02004300,31000,88000,32502.63157894737,85602.5
E02004292,51500,192750,58659.55263157895,183050.26315789475
E02004301,26000,78000,26240.78947368421,99243.68421052632
E02004302,27500,65000,25436.842105263157,67794.73684210527
E02004303,30000,95000,34378.02631578947,93752.63157894737
E02004293,49975,119950,44893.42105263158,109730.26315789473
E02004304,28500,115000,29351.184210526317,96435.3947368421
E02004294,73000,168975,68059.18421052632,165489.47368421053
E02004305,34950,140000,42205.26315789474,132520.26315789475
E02004295,58500,172500,55045.78947368421,141228.94736842104
E02004320,38000,165000,44918.42105263158,144003.94736842104
E02004321,26500,95500,29939.473684210527,94177.63157894737
E02004322,25000,87000,31035.526315789473,86946.5
E02004296,37250,124950,45622.36842105263,111760.52631578948
E02004306,44250,174375,53339.47368421053,154768.42105263157
E02004323,24475,85000,28365.763157894737,80573.68421052632
E02004308,45495,191500,51765.52631578947,170850
E02004309,48000,128500,52373.68421052631,138947.36842105264
E02004307,51775,97500,49075.92105263158,93814.47368421052
E02004324,27500,124000,28834.21052631579,76419.73684210527
E02004310,35000,109500,44751.84210526316,103655.26315789473
E02004311,40000,128500,54916.84210526316,118051.44736842105
E02004312,48000,165000,52617.10526315789,153718.42105263157
E02004313,40000,133500,43064.39473684211,122987.36842105263
E02004314,72000,303750,77283.05263157895,250235.42105263157
E02004316,32000,83000,34890.78947368421,101025
E02004325,25000,70000,25939.473684210527,69185.13157894737
E02004315,78000,284497.5,75002.63157894737,277340.6842105263
E02004326,29950,86500,33003.94736842105,87862.76315789473
E02004328,39725,75000,40513.15789473684,77789.47368421052
