msoa11cd,median_annual_incomeE,median_annual_incomeE_lower_bound,median_annual_incomeE_upper_bound
E02004297,39800,33100,47800
E02004290,42200,35200,50700
E02004298,40100,33400,48000
E02004299,33800,28200,40500
E02004291,33400,27800,40000
E02004300,29300,24500,35200
E02004292,39400,32900,47200
E02004301,29000,24200,34800
E02004302,30200,25200,36300
E02004303,34500,28700,41500
E02004293,30100,25100,36100
E02004304,32700,27300,39200
E02004294,45600,38000,54600
E02004305,33200,27700,39800
E02004295,37900,31600,45400
E02004320,38300,32000,45800
E02004321,31900,26600,38200
E02004322,27500,22900,33000
E02004296,35400,29600,42400
E02004306,41300,34400,49500
E02004323,35700,29700,42700
E02004308,50700,41600,61700
E02004309,39300,32700,47200
E02004307,37000,30900,44300
E02004324,34700,28900,41500
E02004310,36100,30200,43200
E02004311,36300,30300,43500
E02004312,43600,36400,52200
E02004313,32400,26900,38900
E02004314,29800,22800,39000
E02004316,35200,29300,42200
E02004325,26800,22300,32200
E02004315,54900,45200,66500
E02004326,30400,25300,36400
E02004328,30500,25400,36500
E02004327,25400,21000,30700
E02004329,34900,29000,42000
E02004317,32100,26800,38500
E02004330,28700,24000,34400
E02004331,28900,23900,35000
E02004318,39400,32800,47400
E02004348,35900,29900,43100
E02004332,34900,29100,41800
E02004319,36800,30500,44300
E02004349,30000,24900,36200
E02004350,34800,29100,41600
E02004333,35700,29600,42900
E02004334,31800,26500,38100
E02004335,28800,24000,34600
E02004336,28600,23800,34200
E02004351,30400,25200,36600
E02004337,34000,28400,40800
E02004338,31700,26500,38000
E02004339,44000,36600,52800
E02004352,33300,27800,39800
E02004353,39000,32500,46900
E02004354,35400,29600,42500
E02004355,28100,23400,33700
E02004340,28000,23400,33600
E02004341,43100,36000,51700
E02004342,29200,24300,35000
E02004343,31200,26000,37300
E02004344,32400,27100,38800
E02004345,35600,29700,42600
E02004346,38000,31700,45700
E02004347,34400,28600,41300
E02002559,48000,40000,57600
E02002560,40100,33300,48300
E02002561,37600,31300,45000
E02002562,29900,24900,35900
E02002563,34000,28200,40900
E02002564,33500,27900,40100
E02002565,35800,29800,43100
E02002566,29300,24300,35300
E02002567,31300,26200,37600
E02002568,47500,39500,57100
E02002569,45800,38100,54900
E02002570,29100,24300,34900
E02002571,32900,27400,39400
E02002572,35600,29600,42700
E02002573,43900,36700,52700
E02002483,36200,30200,43400
E02002484,27200,22600,32600
E02002485,27700,23100,33200
E02002487,28200,23500,33900
E02002488,40700,34000,48800
E02002489,29300,24400,35100
