msoa11cd,moss_lead_mean_idw_1990,moss_sample_dist_mean_1990,moss_lead_mean_idw_1995,moss_sample_dist_mean_1995,moss_lead_mean_idw_2000,moss_sample_dist_mean_2000,moss_lead_mean_idw_2005,moss_sample_dist_mean_2005,moss_lead_mean_idw_1990_pl_hy,moss_sample_dist_mean_1990_pl_hy,moss_lead_mean_idw_2000_pl_hy,moss_sample_dist_mean_2000_pl_hy,moss_lead_mean_idw_2005_pl_hy,moss_sample_dist_mean_2005_pl_hy
E02000001,14.037105828984435,68258.57050327682,12.670827562782563,90486.74228222817,6.688920472904565,56139.99499628428,4.2267035941650395,70273.41384738113,7.856217637855611,162908.40114680157,5.20753341472549,109321.52946756847,4.243754179538414,167489.25950962552
E02000002,13.880499590997461,64165.32001698538,11.573798862902253,94755.46614797183,6.548277195648084,62609.38894570432,3.9694221323978596,79068.0671244339,7.780280435311724,168564.46160500284,5.065275328428214,113904.83730342978,4.271596067821909,171123.14536590737
E02000003,13.942756992695298,64612.30196916617,11.59992425708259,95130.03671957196,6.552174665611893,62179.00712905666,3.9781781239217557,78903.90315158262,7.783058177471583,169371.84178904755,5.0740927689954,114420.42480912607,4.272456891392947,171831.94022449767
E02000004,13.893120201591163,64977.740544178865,11.579927714483361,96295.72809775577,6.536062584688164,62463.85281028871,3.9927662492478353,79780.5104417548,7.778666558391812,171531.64407238533,5.081580493438068,115949.9444708844,4.275450658629864,173566.7220578192
E02000005,14.008355893878623,65057.570865583206,11.627698844678447,95479.88183402714,6.5577124782439435,61739.18123835332,3.9865554983823777,78708.8547775351,7.786115808068928,170119.10046444196,5.083520675246125,114897.75493266604,4.273290768269657,172498.04131848688
E02000007,14.037906668410898,65260.821134099504,11.624272480469989,95866.90435734682,6.5539537623738,61781.092565537285,3.9917478896419927,78953.07067845293,7.785090448068236,170843.77593210325,5.083151927788286,115411.98895402405,4.27434978250114,173087.81937801908
E02000008,14.051003217411537,65338.50697091918,11.661614607770773,95462.34181718738,6.5679807145235225,61233.49071124327,3.9901349789894187,78250.71136905557,7.790525870927162,170171.25814270054,5.094234023858233,114882.72748915365,4.273089386431381,172605.97408744224
E02000009,14.052074543203801,65372.14950600476,11.68794381966437,95119.95974410164,6.577656880652313,60866.13302597467,3.9881216220567026,77737.0852177125,7.7944319603613925,169579.47624315514,5.101667918391554,114429.1740290392,4.271894688230653,172168.78619031995
E02000010,14.087700225034439,65568.02451327002,11.655547970545515,95940.12934969198,6.563394280843969,61310.823359279144,3.99629226476858,78573.6166862755,7.78904103147541,171058.4564341178,5.093325109010476,115516.62254047662,4.274474906696992,173326.08878076274
E02000011,13.991824365456443,65671.46722236581,11.640580570631828,96386.15137623399,6.556647216018899,61533.101292016836,4.001013715485726,79003.97018254567,7.786490351875446,171850.06721250893,5.089289641010134,116100.06145089671,4.275711627100802,173951.80663556003
E02000012,14.085536669981037,65682.78032626436,11.738725723563993,94854.55925502547,6.592318664795093,60166.16013180564,3.98973052550542,76960.93179440852,7.801280819015526,169186.5813196179,5.116744955398394,114081.02688442606,4.270589437534672,171939.11039782653
E02000013,14.105464308535637,65727.2550444112,11.710732564225413,95387.51448882798,6.582025088926248,60526.25074392295,3.994345384395549,77575.87482787251,7.796911402508521,170146.87187073554,5.109631484420615,114793.58227398068,4.272572798316123,172678.51767037105
E02000014,14.134170531021153,65856.9605674427,11.682849196221563,96035.08803632185,6.571182012911023,60909.043417943554,4.000558968632299,78262.94090876737,7.7924204341302055,171300.38560844416,5.102317289394501,115648.30458726668,4.274663482309704,173579.19010872435
E02000015,14.140935047314487,65893.25619476376,11.66200465796106,96394.23636801497,6.563527534896288,61214.16369043563,4.003436106301901,78722.70844799884,7.789255057976925,171915.6710855145,5.096267698914458,116115.71216281343,4.275717263598459,174048.66073345265
