msoa11cd,soil_lead_mean,soil_lead_mean_idw,n_soil_grid_cells
E02000001,145.7054443359375,146.36493929295094,9
E02000002,99.45494333902995,102.007133679029,9
E02000003,96.99126148223877,97.33543794814447,8
E02000004,101.18214925130208,100.5610630359499,6
E02000005,96.60090026855468,96.6142348991546,5
E02000007,99.35014343261719,99.20620854382524,7
E02000008,96.93855721609933,96.67640440979862,7
E02000009,97.18467330932617,96.91814304469727,4
E02000010,96.46964899698894,97.53785976209444,6
E02000011,101.72136815388997,102.11474010844114,6
E02000012,98.5093485514323,98.02147902030539,6
E02000013,94.82839711507161,94.81576662018645,6
E02000014,95.51171439034599,95.59045120195425,7
E02000015,96.23505020141602,97.1002840965586,4
E02000016,104.07775115966797,104.02750004510273,4
E02000017,100.37081909179687,101.0073802990479,5
E02000018,95.41119820731026,94.93815177319335,7
E02000019,91.92539007013494,92.62729662567587,11
E02000020,95.69003629684448,97.73523317413105,16
E02000021,90.9676776462131,92.33253295525253,9
E02000022,103.05782699584961,102.60692771710563,4
E02000023,94.40638224283855,94.08372510780899,6
E02000024,73.7912271673029,74.4489819506296,11
E02000025,77.93188900417752,77.89158154769189,9
E02000026,81.32371234893799,80.89121625019003,8
E02000027,76.64125714983258,76.65697449973668,7
E02000028,79.74816131591797,79.78724954141984,5
E02000029,81.55231285095215,81.5494352181703,8
E02000030,76.98364483868635,76.21727302748116,27
E02000031,82.09742641448975,82.11980572881048,8
E02000032,84.89683990478515,84.90811637962656,5
E02000033,86.00615801130023,85.73930791374286,7
E02000034,85.9190673828125,85.87617950123492,6
E02000035,86.45829963684082,86.6902109381441,4
E02000036,78.19761233859592,78.0281271199453,9
E02000037,77.60366736518012,77.02466748937086,9
E02000038,89.92241287231445,89.77089467500747,8
E02000039,82.238067626953125,82.08500901478273,6
E02000040,87.03102220807757,87.76543868259361,14
E02000041,76.49388376871745,77.08448385748403,6
E02000042,92.40177536010742,92.67135462329722,4
E02000043,92.5072374343872,93.07628860344198,8
E02000044,83.08211771647136,83.12440979716595,6
E02000045,100.31471470424107,98.39232010161356,7
E02000046,104.53501637776692,103.83588271946968,6
E02000047,82.40220006306966,82.31239066441856,6
E02000048,97.06643815474077,97.5338436637547,11
E02000049,88.0408763885498,88.31414888089802,4
E02000050,109.53682284884982,109.20579531741457,9
E02000051,110.61220092773438,110.37848606424865,5
E02000052,123.77249908447266,123.05103065113403,4
E02000053,92.35660008021763,92.43795314338206,7
E02000054,102.62186126708984,101.81940325817,5
E02000055,108.0237808227539,109.47866550972253,5
E02000056,140.1079978942871,138.6638216639109,8
E02000057,120.8934304373605,120.99787879755391,7
E02000058,138.57816569010416,137.16860143981796,6
E02000059,106.94661385672433,106.55467182213718,7
E02000060,132.0790008544922,135.48676237017673,5
E02000061,162.5207977294922,163.08219370341916,5
E02000062,141.2228012084961,141.63057730443091,10
E02000063,155.3183339436849,157.326496709949,6
E02000064,170.62359924316405,171.68536827515874,5
E02000065,88.10731082492404,89.4431478958479,9
E02000066,89.20145034790039,90.2533249270985,6
E02000067,83.70237246426669,83.49040956088905,11
E02000068,78.625300320712,78.2339470042865,11
E02000069,79.1572982788086,79.75567514997739,5
E02000070,87.35258483886719,86.28851490149046,7
E02000071,81.01419982910156,80.53097814008873,5
E02000072,71.0220237145057,72.08240599975183,13
E02000073,90.36702728271484,90.22409725443302,7
E02000074,75.17422812325614,75.41538490990439,7
E02000075,82.139599609375,83.43443252431125,5
E02000077,92.85896555582683,92.99778193572219,3
E02000078,77.97096633911133,77.94837656977069,6
E02000079,86.0890245437622,86.43827226882719,8
E02000080,95.10972595214844,95.06400341265702,8
E02000081,81.46438789367676,81.19164645818003,8
E02000082,104.88663482666016,103.95083938763287,6
E02000083,76.11876678466797,76.20640974467192,12
E02000084,88.06196060180665,87.68270610940672,10
E02000085,87.27886708577473,87.63893808298143,6
E02000086,84.4185167948405,86.32713240274167,6
E02000087,89.62347751193576,88.70157435864846,9
E02000088,84.15725925990513,84.31554998458023,7
E02000089,84.348175048828125,83.95876341350925,4
E02000090,77.02308545793805,75.79513611147593,7
E02000091,73.49283345540364,73.8489407638753,9
E02000092,91.69841702779134,88.66088901753773,12
E02000093,80.0295196533203,80.30177028379539,5
E02000094,89.107666015625,89.82181513238913,6
E02000095,82.42563247680664,82.77503678354803,6
E02000096,77.1269162495931,75.87277957962621,6
E02000097,97.5817151750837,98.45167254803098,7
E02000098,87.59368569510323,87.47303216998071,7
E02000099,88.7794204711914,87.76730226306982,5
E02000100,82.75052860804966,83.25236571705567,7
E02000101,101.91831970214844,102.21132300404209,5
E02000102,113.25685773577008,114.6762844367863,7
E02000103,128.6078758239746,129.09065310290273,8
E02000104,94.14846674601237,94.06201598764738,6
E02000105,91.80389976501465,92.76059285773096,4
E02000106,120.95357186453683,119.67021751437608,7
E02000107,153.0676025390625,152.42882455435395,5
E02000108,93.2247802734375,93.86510370050792,5
E02000109,105.87132453918457,106.17668218394549,8
E02000110,138.04340057373048,137.53951763956957,5
E02000111,102.33109919230144,102.35025704367445,6
E02000112,108.47392817905971,107.05573737571848,7
E02000113,117.44879913330078,117.48245387563057,5
E02000114,139.78780212402344,139.24454747951822,5
E02000115,157.23160095214843,157.9396715007734,5
E02000116,131.58443014962333,131.949630035007,7
E02000117,123.27950096130371,124.29396922716298,4
E02000118,110.89360046386719,110.37022393394327,5
E02000119,121.08766682942708,121.00847307120667,9
E02000120,160.4180030822754,159.592583522835,4
E02000121,115.22616577148437,113.53602665557713,6
E02000122,146.59650166829428,146.08157966535322,6
E02000123,132.00150299072266,129.90392459373,4
E02000124,149.24119873046874,148.3383875727431,5
E02000125,139.14075088500977,139.28038008019465,4
E02000126,152.1884994506836,152.87820258385847,4
E02000127,127.30641555786133,115.60840109444001,8
E02000128,74.61822170681424,76.337844807039815,9
E02000130,128.11179962158204,132.01166373420045,5
E02000131,176.49971444266183,176.81992134689423,7
E02000132,107.83065795898437,106.94056735163068,7
E02000133,78.5504150390625,77.53522198482976,14
E02000134,91.76878833770752,90.39061968010787,8
E02000135,139.98479919433595,141.52747891029333,5
E02000136,67.42253667658025,66.67116465001561,11
E02000137,89.34216690063477,88.59185813055419,6
E02000138,92.73848724365234,92.99450518384971,7
E02000139,110.82497188023159,110.86423851343757,7
E02000140,70.89036560058594,69.94778184717919,6
E02000141,125.46025085449219,125.34262114995784,4
E02000142,80.00487613677979,79.82886209446741,8
E02000144,79.39444187709263,79.07408361257528,7
E02000145,80.18346364874589,77.07215383521066,19
E02000146,74.17278416951497,74.36950673734447,6
E02000147,80.92177036830357,79.72114494764874,7
E02000148,71.22644382052951,71.5193461746617,9
E02000149,70.83342960902623,70.7276343200913,7
E02000150,85.07500966389973,85.42289949356405,9
E02000151,69.71809959411621,69.75520603024512,8
E02000152,70.15770053863525,70.64994021388794,8
E02000153,71.53681400844029,71.5317796715412,7
E02000154,69.14535740443638,69.18949148944245,7
E02000155,68.24102592468262,68.38688553327295,8
