state,year,zip,tested,BLL_geq_10,BLL_geq_5
AL,2005,32535,1,0,0
AL,2005,35004,6,0,0
AL,2005,35005,24,0,0
AL,2005,35006,4,0,0
AL,2005,35007,27,1,1
AL,2005,35010,115,2,2
AL,2005,35011,7,0,0
AL,2005,35013,1,0,0
AL,2005,35014,3,0,0
AL,2005,35016,64,0,0
AL,2005,35019,3,0,0
AL,2005,35020,135,8,8
AL,2005,35022,31,0,0
AL,2005,35023,36,0,0
AL,2005,35031,18,1,1
AL,2005,35033,12,0,0
AL,2005,35034,54,0,0
AL,2005,35035,10,0,0
AL,2005,35036,2,0,0
AL,2005,35038,1,0,0
AL,2005,35040,18,0,0
AL,2005,35042,61,0,0
AL,2005,35043,5,0,0
AL,2005,35044,6,0,0
AL,2005,35045,6,0,0
AL,2005,35046,3,0,0
AL,2005,35048,2,0,0
AL,2005,35051,13,0,0
AL,2005,35052,1,0,0
AL,2005,35053,9,0,0
AL,2005,35054,6,0,0
AL,2005,35055,111,1,1
AL,2005,35056,10,0,0
AL,2005,35057,46,1,1
AL,2005,35058,35,0,0
AL,2005,35060,4,0,0
AL,2005,35061,7,0,0
AL,2005,35062,27,0,0
AL,2005,35063,17,0,0
AL,2005,35064,30,3,3
AL,2005,35068,19,0,0
AL,2005,35071,17,0,0
AL,2005,35072,21,0,1
AL,2005,35073,17,0,0
AL,2005,35077,59,0,0
AL,2005,35078,6,0,0
AL,2005,35079,7,0,0
AL,2005,35080,8,0,0
AL,2005,35083,10,0,0
AL,2005,35085,6,0,0
AL,2005,35087,8,0,0
AL,2005,35089,10,0,0
AL,2005,35091,3,0,0
AL,2005,35094,47,0,0
AL,2005,35096,6,0,0
AL,2005,35097,1,0,0
AL,2005,35098,7,0,0
AL,2005,35111,11,0,0
AL,2005,35112,2,0,0
AL,2005,35114,4,0,0
AL,2005,35115,27,0,0
AL,2005,35116,10,0,0
AL,2005,35117,10,0,0
AL,2005,35118,8,0,0
AL,2005,35119,2,0,0
AL,2005,35120,23,0,0
AL,2005,35121,6,0,0
AL,2005,35124,24,0,0
AL,2005,35125,23,1,2
AL,2005,35126,44,0,0
AL,2005,35127,13,0,0
AL,2005,35128,14,0,0
AL,2005,35130,11,0,0
AL,2005,35131,8,0,0
AL,2005,35133,4,0,0
AL,2005,35135,2,0,0
AL,2005,35136,1,0,0
AL,2005,35139,1,0,0
AL,2005,35143,4,0,0
AL,2005,35146,8,0,0
AL,2005,35147,7,0,0
AL,2005,35148,9,0,0
AL,2005,35150,29,1,1
AL,2005,35151,7,0,0
AL,2005,35160,27,1,2
AL,2005,35161,1,0,0
AL,2005,35171,1,0,0
AL,2005,35172,4,0,0
AL,2005,35173,25,0,0
AL,2005,35175,13,0,0
AL,2005,35176,1,0,0
AL,2005,35178,12,0,0
AL,2005,35179,41,0,1
AL,2005,35180,30,0,0
AL,2005,35182,2,0,0
AL,2005,35184,26,0,0
AL,2005,35186,9,0,0
AL,2005,35188,12,0,0
AL,2005,35201,12,2,2
AL,2005,35202,66,0,0
AL,2005,35203,4,0,0
AL,2005,35204,77,3,3
AL,2005,35205,85,0,0
AL,2005,35206,117,2,4
AL,2005,35207,51,1,1
AL,2005,35208,171,2,6
AL,2005,35209,74,0,0
AL,2005,35210,34,0,1
AL,2005,35211,234,6,6
AL,2005,35212,68,5,6
AL,2005,35213,30,0,0
AL,2005,35214,79,3,3
AL,2005,35215,243,2,3
AL,2005,35216,50,0,0
AL,2005,35217,61,4,4
AL,2005,35218,49,1,1
AL,2005,35219,1,0,0
AL,2005,35220,1,0,0
AL,2005,35221,17,1,2
AL,2005,35222,41,1,1
AL,2005,35223,9,0,0
AL,2005,35224,25,2,2
AL,2005,35226,31,0,0
AL,2005,35228,47,1,1
AL,2005,35231,1,0,0
AL,2005,35232,1,0,0
AL,2005,35233,6,0,0
AL,2005,35234,42,1,1
AL,2005,35235,44,0,0
AL,2005,35242,26,1,1
AL,2005,35243,12,0,0
AL,2005,35244,16,0,0
AL,2005,35255,2,0,0
AL,2005,35261,2,0,0
AL,2005,35266,1,0,0
AL,2005,35283,1,0,0
AL,2005,35401,162,1,2
AL,2005,35402,1,0,0
AL,2005,35403,4,0,0
AL,2005,35404,77,0,1
AL,2005,35405,113,0,1
AL,2005,35406,18,0,0
AL,2005,35407,5,0,1
AL,2005,35440,1,0,0
AL,2005,35441,6,0,0
AL,2005,35442,24,0,0
AL,2005,35443,28,0,0
AL,2005,35444,14,0,0
AL,2005,35446,5,0,0
AL,2005,35447,10,0,0
AL,2005,35448,1,0,0
AL,2005,35449,3,0,0
AL,2005,35452,8,0,0
AL,2005,35453,20,0,0
AL,2005,35456,15,0,0
AL,2005,35458,2,0,0
AL,2005,35459,9,0,0
AL,2005,35460,1,0,0
AL,2005,35461,2,0,0
AL,2005,35462,67,4,4
AL,2005,35463,4,0,0
AL,2005,35464,6,0,0
AL,2005,35466,12,0,0
AL,2005,35469,1,0,0
AL,2005,35470,49,0,0
AL,2005,35473,24,1,2
AL,2005,35474,21,0,0
AL,2005,35475,25,0,0
AL,2005,35476,33,0,0
AL,2005,35477,1,0,0
AL,2005,35480,4,0,0
AL,2005,35481,23,1,1
AL,2005,35486,4,0,0
AL,2005,35490,12,0,0
AL,2005,35501,93,0,1
AL,2005,35502,10,0,0
AL,2005,35503,46,1,1
AL,2005,35504,59,0,0
AL,2005,35540,10,0,0
AL,2005,35541,13,0,0
AL,2005,35542,1,0,0
AL,2005,35543,2,0,0
AL,2005,35544,8,0,0
AL,2005,35546,11,0,0
AL,2005,35548,12,0,0
AL,2005,35549,27,0,0
AL,2005,35550,41,1,1
AL,2005,35552,6,1,1
AL,2005,35553,19,0,0
AL,2005,35554,3,0,0
AL,2005,35555,44,1,1
AL,2005,35559,3,0,0
AL,2005,35560,1,0,0
AL,2005,35563,33,0,0
AL,2005,35564,5,0,0
AL,2005,35565,21,1,1
AL,2005,35570,56,0,0
AL,2005,35571,3,0,0
AL,2005,35572,6,0,0
AL,2005,35573,2,0,0
AL,2005,35574,4,0,0
AL,2005,35575,4,0,0
AL,2005,35576,15,0,0
AL,2005,35578,41,0,0
AL,2005,35579,22,0,0
AL,2005,35580,25,0,0
AL,2005,35581,9,0,0
AL,2005,35582,11,0,0
AL,2005,35584,7,0,0
AL,2005,35585,2,0,0
AL,2005,35586,13,0,0
AL,2005,35587,10,0,0
AL,2005,35592,15,0,0
AL,2005,35593,1,0,0
AL,2005,35594,46,0,1
AL,2005,35601,368,4,7
AL,2005,35603,93,0,1
AL,2005,35610,1,0,0
AL,2005,35611,65,2,2
AL,2005,35613,11,0,0
AL,2005,35614,12,0,0
AL,2005,35615,4,0,0
AL,2005,35616,3,0,0
AL,2005,35618,12,0,0
AL,2005,35619,34,0,0
AL,2005,35620,6,0,0
AL,2005,35621,8,0,0
AL,2005,35622,32,0,0
AL,2005,35630,16,0,0
AL,2005,35633,9,0,0
AL,2005,35634,1,0,0
AL,2005,35640,97,0,1
AL,2005,35643,11,0,0
AL,2005,35645,3,0,0
AL,2005,35646,8,0,0
AL,2005,35647,1,0,0
AL,2005,35650,55,1,1
AL,2005,35651,6,0,0
AL,2005,35652,3,0,0
AL,2005,35653,12,0,0
AL,2005,35654,13,0,0
AL,2005,35660,23,0,1
AL,2005,35661,24,0,1
AL,2005,35670,26,0,1
AL,2005,35671,12,1,1
AL,2005,35672,19,0,0
AL,2005,35673,29,0,0
AL,2005,35674,43,0,2
AL,2005,35739,4,0,0
AL,2005,35740,43,0,0
AL,2005,35741,1,0,0
AL,2005,35744,17,0,0
AL,2005,35745,2,0,0
AL,2005,35746,12,0,0
AL,2005,35747,29,0,0
AL,2005,35748,5,0,0
AL,2005,35749,11,0,0
AL,2005,35750,5,0,0
AL,2005,35751,2,0,0
AL,2005,35752,43,0,0
AL,2005,35754,13,0,0
AL,2005,35755,3,0,0
AL,2005,35756,9,0,0
AL,2005,35757,7,0,0
AL,2005,35758,25,0,0
AL,2005,35759,2,0,0
AL,2005,35760,9,0,0
AL,2005,35761,6,1,1
AL,2005,35763,5,1,1
AL,2005,35764,1,0,0
AL,2005,35765,28,0,0
AL,2005,35768,184,0,0
AL,2005,35769,62,0,0
AL,2005,35771,36,0,0
AL,2005,35772,59,0,0
AL,2005,35773,11,0,0
AL,2005,35775,1,1,1
AL,2005,35776,18,0,0
AL,2005,35801,17,0,0
AL,2005,35802,21,0,0
AL,2005,35803,18,0,0
AL,2005,35805,95,0,0
AL,2005,35806,22,0,0
AL,2005,35808,1,0,0
AL,2005,35810,81,1,1
AL,2005,35811,23,0,0
AL,2005,35814,2,0,0
AL,2005,35816,61,0,1
AL,2005,35824,8,0,0
AL,2005,35899,2,0,0
AL,2005,35901,11,1,1
AL,2005,35903,10,0,0
AL,2005,35904,6,2,2
AL,2005,35905,4,0,0
AL,2005,35906,6,0,0
AL,2005,35907,3,1,1
AL,2005,35950,117,0,0
AL,2005,35951,50,0,1
AL,2005,35952,8,0,0
AL,2005,35953,6,0,0
AL,2005,35954,8,1,1
AL,2005,35956,6,0,1
AL,2005,35957,43,0,0
AL,2005,35958,18,0,0
AL,2005,35960,4,0,0
AL,2005,35961,3,0,1
AL,2005,35962,8,1,1
AL,2005,35966,10,0,0
AL,2005,35967,2,0,0
AL,2005,35968,5,0,0
AL,2005,35971,13,0,0
AL,2005,35973,1,0,0
AL,2005,35974,1,0,0
AL,2005,35975,1,0,0
AL,2005,35976,72,0,0
AL,2005,35978,11,0,0
AL,2005,35979,5,0,0
AL,2005,35980,19,0,0
AL,2005,35981,2,0,0
AL,2005,35986,21,0,0
AL,2005,35987,2,0,0
AL,2005,35989,1,0,0
AL,2005,35990,1,0,0
AL,2005,36003,12,0,0
AL,2005,36005,7,0,0
AL,2005,36006,1,0,0
AL,2005,36009,7,1,1
AL,2005,36010,17,2,2
AL,2005,36016,13,0,0
AL,2005,36017,5,0,0
AL,2005,36020,2,0,0
AL,2005,36022,23,0,0
