state,zip,year,tested,BLL_geq_10
MI,48001,2005,,
MI,48001,2006,,
MI,48001,2007,,
MI,48001,2008,,
MI,48001,2009,,
MI,48001,2010,,
MI,48001,2011,,
MI,48001,2012,,
MI,48001,2013,,
MI,48001,2014,,
MI,48001,2015,,
MI,48001,2005,,
MI,48001,2006,,
MI,48001,2007,,
MI,48001,2008,,
MI,48001,2009,,
MI,48001,2010,,
MI,48001,2011,,
MI,48001,2012,,
MI,48001,2013,,
MI,48001,2014,,
MI,48001,2015,,
MI,48002,2005,,
MI,48002,2006,,
MI,48002,2007,,
MI,48002,2008,,
MI,48002,2009,,
MI,48002,2010,,
MI,48002,2011,,
MI,48002,2012,,
MI,48002,2013,,
MI,48002,2014,,
MI,48002,2015,,
MI,48003,2005,,
MI,48003,2006,,
MI,48003,2007,,
MI,48003,2008,,
MI,48003,2009,,
MI,48003,2010,,
MI,48003,2011,,
MI,48003,2012,,
MI,48003,2013,,
MI,48003,2014,,
MI,48003,2015,,
MI,48004,2005,,
MI,48004,2006,,
MI,48004,2007,,
MI,48004,2008,,
MI,48004,2009,,
MI,48004,2010,,
MI,48004,2011,,
MI,48004,2012,,
MI,48004,2013,,
MI,48004,2014,,
MI,48004,2015,,
MI,48005,2005,,
MI,48005,2006,,
MI,48005,2007,,
MI,48005,2008,,
MI,48005,2009,,
MI,48005,2010,,
MI,48005,2011,,
MI,48005,2012,,
MI,48005,2013,,
MI,48005,2014,,
MI,48005,2015,,
MI,48005,2005,,
MI,48005,2006,,
MI,48005,2007,,
MI,48005,2008,,
MI,48005,2009,,
MI,48005,2010,,
MI,48005,2011,,
MI,48005,2012,,
MI,48005,2013,,
MI,48005,2014,,
MI,48005,2015,,
MI,48006,2005,,
MI,48006,2006,,
MI,48006,2007,,
MI,48006,2008,,
MI,48006,2009,,
MI,48006,2010,,
MI,48006,2011,,
MI,48006,2012,,
MI,48006,2013,,
MI,48006,2014,,
MI,48006,2015,,
MI,48007,2005,,
MI,48007,2006,,
MI,48007,2007,,
MI,48007,2008,,
MI,48007,2009,,
MI,48007,2010,,
MI,48007,2011,,
MI,48007,2012,,
MI,48007,2013,,
MI,48007,2014,,
MI,48007,2015,,
MI,48009,2005,,
MI,48009,2006,,
MI,48009,2007,,
MI,48009,2008,,
MI,48009,2009,,
MI,48009,2010,,
MI,48009,2011,,
MI,48009,2012,,
MI,48009,2013,,
MI,48009,2014,,
MI,48009,2015,,
MI,48010,2005,,
MI,48010,2006,,
MI,48010,2007,,
MI,48010,2008,,
MI,48010,2009,,
MI,48010,2010,,
MI,48010,2011,,
MI,48010,2012,,
MI,48010,2013,,
MI,48010,2014,,
MI,48010,2015,,
MI,48011,2005,,
MI,48011,2006,,
MI,48011,2007,,
MI,48011,2008,,
MI,48011,2009,,
MI,48011,2010,,
