TRACT,ALAND,TYPE_I,TYPE_S,TYPE_U,TYPE_M,TYPE_C,TYPE_O,TYPE_I_density,TYPE_S_density,TYPE_U_density,TYPE_M_density,TYPE_C_density,TYPE_O_density
01001020803,129030127,52746,0,0,0,0,0,4.087882514445638e-4,0,0,0,0,0
01001020804,26378238,60639,0,0,0,0,0,0.0022988267828958097,0,0,0,0,0
01001020805,35437301,60698,0,0,0,0,0,0.001712827960571828,0,0,0,0,0
01001020901,105252240,52746,0,0,0,0,0,5.011389781348121e-4,0,0,0,0,0
01001020902,187504577,26455,0,0,0,0,0,1.4108988923507718e-4,0,0,0,0,0
01003010100,971527026,71307,0,0,0,0,0,7.339682591598846e-5,0,0,0,0,0
01003010200,221797187,116155,0,0,0,0,0,5.236991576453131e-4,0,0,0,0,0
01003010300,343037978,111783,0,0,0,0,0,3.258618787684202e-4,0,0,0,0,0
01003010400,737472734,119638,0,0,0,0,0,1.6222701461936353e-4,0,0,0,0,0
01003010704,8412809,119638,0,0,0,0,0,0.01422093381651717,0,0,0,0,0
01003010706,13440689,59817,0,0,0,0,0,0.004450441491503895,0,0,0,0,0
01003010707,95951144,166118,0,0,0,0,0,0.0017312769090069421,0,0,0,0,0
01003010708,81509925,119638,0,0,0,0,0,0.0014677721762104432,0,0,0,0,0
01003010710,13820240,166118,0,0,0,0,0,0.012019907034899538,0,0,0,0,0
01003010903,55586749,59821,0,0,0,0,0,0.001076173747811731,0,0,0,0,0
01003010904,276176721,119638,0,0,0,0,0,4.331936434280426e-4,0,0,0,0,0
01009050601,83641616,22111,0,0,0,0,0,2.643540507395266e-4,0,0,0,0,0
01009050603,55098966,11062,4206,4206,0,0,0,2.007660180047662e-4,7.63353707944356e-5,7.63353707944356e-5,0,0,0
01009050604,126994789,65276,8374,8374,0,0,0,5.14005342376686e-4,6.593971347910976e-5,6.593971347910976e-5,0,0,0
01013952700,133820608,170591,0,0,0,0,0,0.001274773762797431,0,0,0,0,0
01013952900,57438535,110254,0,0,0,0,0,0.0019195127452327954,0,0,0,0,0
01013953100,32199894,110254,0,0,0,0,0,0.0034240485387933266,0,0,0,0,0
01013953300,352261685,110254,0,0,0,0,0,3.1298890766391467e-4,0,0,0,0,0
01013953400,249002007,110254,0,0,0,0,0,4.4278357965203067e-4,0,0,0,0,0
01015001101,30345003,35976,0,0,0,0,0,0.0011855658738936358,0,0,0,0,0
01015001102,3792307,35976,0,0,0,0,0,0.009486573739942468,0,0,0,0,0
01015001103,14428695,64879,0,0,0,0,0,0.004496525846585571,0,0,0,0,0
01015001201,7320502,35976,0,0,0,0,0,0.004914417071397562,0,0,0,0,0
01015001202,23530433,64879,0,0,0,0,0,0.0027572378289851276,0,0,0,0,0
01015002001,142258643,69536,0,0,0,0,0,4.887998263838352e-4,0,0,0,0,0
01017954300,132642536,69788,0,0,0,0,0,5.261358995729696e-4,0,0,0,0,0
01017954600,9696363,17943,2395,0,0,0,0,0.001850487651916497,2.469998286986574e-4,0,0,0,0
01017954800,11523946,33435,2373,0,0,0,0,0.0029013499369052926,2.0591904890911498e-4,0,0,0,0
01021060101,55927587,89938,0,0,0,0,0,0.0016081151507573535,0,0,0,0,0
01021060104,15777351,89938,0,0,0,0,0,0.005700449967805115,0,0,0,0,0
01021060200,98607683,89938,0,0,0,0,0,9.12079031407725e-4,0,0,0,0,0
01021060300,272143269,89938,0,0,0,0,0,3.3048033975075094e-4,0,0,0,0,0
01021060401,91219890,89938,0,0,0,0,0,9.859472533895843e-4,0,0,0,0,0
01021060403,79857944,89938,0,0,0,0,0,0.001126224837443849,0,0,0,0,0
01021060701,89340566,116393,0,0,0,0,0,0.0013028012381296084,0,0,0,0,0
01021060702,166993925,71258,0,0,0,0,0,4.26710133317724e-4,0,0,0,0,0
01029959600,244055499,67121,0,0,0,0,0,2.750235101238182e-4,0,0,0,0,0
01029959700,418769374,85080,0,0,0,0,0,2.0316671963695226e-4,0,0,0,0,0
01029959800,296363972,67121,0,0,0,0,0,2.2648164534655379e-4,0,0,0,0,0
